,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,class_minor,class_major,OCC_CODE_minor,OCC_TITLE_minor,TOT_EMP_minor,A_MEAN_minor,OCC_CODE_major,OCC_TITLE_major,TOT_EMP_major,A_MEAN_major
17,11-9030,Education Administrators,498200,97030,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
18,11-9040,Architectural and Engineering Managers,188290,148970,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
19,11-9050,Food Service Managers,219160,58960,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
20,11-9060,Funeral Service Managers,8400,93820,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
21,11-9070,Gaming Managers,4300,85260,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
22,11-9080,Lodging Managers,37050,62270,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
23,11-9110,Medical and Health Services Managers,372670,113730,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
24,11-9120,Natural Sciences Managers,60260,139680,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
25,11-9130,Postmasters and Mail Superintendents,13770,77040,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
26,11-9140,"Property, Real Estate, and Community Association Managers",202550,71730,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
27,11-9150,Social and Community Service Managers,149870,71670,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
28,11-9160,Emergency Management Directors,9550,82570,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
29,11-9190,Miscellaneous Managers,462840,115590,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
30,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",14830,90930,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
31,13-1020,Buyers and Purchasing Agents,407410,67530,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
32,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",302930,67440,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
33,13-1040,Compliance Officers,300900,72520,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
34,13-1050,Cost Estimators,211600,69710,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
35,13-1070,Human Resources Workers,671140,67240,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
36,13-1080,Logisticians,169820,78730,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
37,13-1110,Management Analysts,684470,94390,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
38,13-1120,"Meeting, Convention, and Event Planners",110120,53730,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
39,13-1130,Fundraisers,75700,61610,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
40,13-1140,"Compensation, Benefits, and Job Analysis Specialists",83550,67910,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
41,13-1150,Training and Development Specialists,291380,65120,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
42,13-1160,Market Research Analysts and Marketing Specialists,638200,70960,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
43,13-1190,Miscellaneous Business Operations Specialists,1060580,76960,13-1000,13-0000,13-1000,Business Operations Specialists,5022640,73890,13-0000,Business and Financial Operations Occupations,7721300,76910
44,13-2010,Accountants and Auditors,1259930,78820,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
45,13-2020,Appraisers and Assessors of Real Estate,57900,61870,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
46,13-2030,Budget Analysts,52810,79830,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
47,13-2040,Credit Analysts,74820,82300,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
48,13-2051,Financial Analysts,306200,100990,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
49,13-2052,Personal Financial Advisors,200260,121770,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
50,13-2053,Insurance Underwriters,96040,76880,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
51,13-2060,Financial Examiners,58590,90310,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
52,13-2070,Credit Counselors and Loan Officers,340690,73490,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
53,13-2081,"Tax Examiners and Collectors, and Revenue Agents",54550,60500,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
54,13-2082,Tax Preparers,68090,46860,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
55,13-2099,"Financial Specialists, All Other",128760,77580,13-2000,13-0000,13-2000,Financial Specialists,2698660,82550,13-0000,Business and Financial Operations Occupations,7721300,76910
56,15-1110,Computer and Information Research Scientists,30070,123850,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
57,15-1120,Computer and Information Analysts,696030,94990,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
58,15-1131,Computer Programmers,230470,89580,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
59,15-1132,"Software Developers, Applications",903160,108080,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
60,15-1133,"Software Developers, Systems Software",405330,114000,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
61,15-1134,Web Developers,127300,75580,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
62,15-1141,Database Administrators,110090,92030,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
63,15-1142,Network and Computer Systems Administrators,366250,87070,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
64,15-1143,Computer Network Architects,152670,111130,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
65,15-1150,Computer Support Specialists,812060,57950,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
66,15-1190,Miscellaneous Computer Occupations,381380,93350,15-1100,15-0000,15-1100,Computer Occupations,4214820,91480,15-0000,Computer and Mathematical Occupations,4384300,91530
67,15-2010,Actuaries,20760,116250,15-2000,15-0000,15-2000,Mathematical Science Occupations,169480,92830,15-0000,Computer and Mathematical Occupations,4384300,91530
68,15-2020,Mathematicians,2580,104870,15-2000,15-0000,15-2000,Mathematical Science Occupations,169480,92830,15-0000,Computer and Mathematical Occupations,4384300,91530
69,15-2030,Operations Research Analysts,104200,88350,15-2000,15-0000,15-2000,Mathematical Science Occupations,169480,92830,15-0000,Computer and Mathematical Occupations,4384300,91530
70,15-2040,Statisticians,39920,92600,15-2000,15-0000,15-2000,Mathematical Science Occupations,169480,92830,15-0000,Computer and Mathematical Occupations,4384300,91530
71,15-2090,Miscellaneous Mathematical Science Occupations,2010,72390,15-2000,15-0000,15-2000,Mathematical Science Occupations,169480,92830,15-0000,Computer and Mathematical Occupations,4384300,91530
72,17-1010,"Architects, Except Naval",123020,86480,17-1000,17-0000,17-1000,"Architects, Surveyors, and Cartographers",179380,80300,17-0000,Architecture and Engineering Occupations,2556220,87370
73,17-1020,"Surveyors, Cartographers, and Photogrammetrists",56360,66810,17-1000,17-0000,17-1000,"Architects, Surveyors, and Cartographers",179380,80300,17-0000,Architecture and Engineering Occupations,2556220,87370
74,17-2010,Aerospace Engineers,63960,117100,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
75,17-2020,Agricultural Engineers,1630,79090,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
76,17-2030,Biomedical Engineers,18970,95090,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
77,17-2040,Chemical Engineers,32060,114470,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
78,17-2050,Civil Engineers,306030,93720,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
79,17-2060,Computer Hardware Engineers,60750,117840,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
80,17-2070,Electrical and Electronics Engineers,320610,104250,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
81,17-2080,Environmental Engineers,53070,92640,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
82,17-2110,"Industrial Engineers, Including Health and Safety",305780,91800,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
83,17-2120,Marine Engineers and Naval Architects,11350,98970,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
84,17-2130,Materials Engineers,26930,96930,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
85,17-2140,Mechanical Engineers,303440,92800,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
86,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",5780,98420,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
87,17-2160,Nuclear Engineers,15980,110790,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
88,17-2170,Petroleum Engineers,32510,156370,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
89,17-2199,"Engineers, All Other",142030,99410,17-2000,17-0000,17-2000,Engineers,1700880,99230,17-0000,Architecture and Engineering Occupations,2556220,87370
90,17-3010,Drafters,193260,58180,17-3000,17-0000,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",675960,59410,17-0000,Architecture and Engineering Occupations,2556220,87370
91,17-3020,"Engineering Technicians, Except Drafters",430400,61380,17-3000,17-0000,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",675960,59410,17-0000,Architecture and Engineering Occupations,2556220,87370
92,17-3030,Surveying and Mapping Technicians,52300,47690,17-3000,17-0000,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",675960,59410,17-0000,Architecture and Engineering Occupations,2556220,87370
93,19-1010,Agricultural and Food Scientists,30880,71230,19-1000,19-0000,19-1000,Life Scientists,304750,86450,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
94,19-1020,Biological Scientists,109040,86390,19-1000,19-0000,19-1000,Life Scientists,304750,86450,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
95,19-1030,Conservation Scientists and Foresters,30600,64720,19-1000,19-0000,19-1000,Life Scientists,304750,86450,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
96,19-1040,Medical Scientists,127380,95270,19-1000,19-0000,19-1000,Life Scientists,304750,86450,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
97,19-1090,Miscellaneous Life Scientists,6850,89150,19-1000,19-0000,19-1000,Life Scientists,304750,86450,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
98,19-2010,Astronomers and Physicists,19770,123730,19-2000,19-0000,19-2000,Physical Scientists,254790,90470,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
99,19-2020,Atmospheric and Space Scientists,9310,95580,19-2000,19-0000,19-2000,Physical Scientists,254790,90470,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
100,19-2030,Chemists and Materials Scientists,92300,85400,19-2000,19-0000,19-2000,Physical Scientists,254790,90470,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
101,19-2040,Environmental Scientists and Geoscientists,116020,85480,19-2000,19-0000,19-2000,Physical Scientists,254790,90470,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
102,19-2090,Miscellaneous Physical Scientists,17380,110090,19-2000,19-0000,19-2000,Physical Scientists,254790,90470,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
103,19-3010,Economists,18650,116020,19-3000,19-0000,19-3000,Social Scientists and Related Workers,247290,85900,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
104,19-3020,Survey Researchers,11690,63240,19-3000,19-0000,19-3000,Social Scientists and Related Workers,247290,85900,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
105,19-3030,Psychologists,124750,86600,19-3000,19-0000,19-3000,Social Scientists and Related Workers,247290,85900,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
106,19-3040,Sociologists,2710,90290,19-3000,19-0000,19-3000,Social Scientists and Related Workers,247290,85900,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
107,19-3050,Urban and Regional Planners,37840,76240,19-3000,19-0000,19-3000,Social Scientists and Related Workers,247290,85900,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
108,19-3090,Miscellaneous Social Scientists and Related Workers,51640,85320,19-3000,19-0000,19-3000,Social Scientists and Related Workers,247290,85900,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
109,19-4010,Agricultural and Food Science Technicians,21290,44170,19-4000,19-0000,19-4000,"Life, Physical, and Social Science Technicians",365080,50990,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
110,19-4020,Biological Technicians,77450,48060,19-4000,19-0000,19-4000,"Life, Physical, and Social Science Technicians",365080,50990,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
111,19-4030,Chemical Technicians,65500,51670,19-4000,19-0000,19-4000,"Life, Physical, and Social Science Technicians",365080,50990,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
112,19-4040,Geological and Petroleum Technicians,15060,62890,19-4000,19-0000,19-4000,"Life, Physical, and Social Science Technicians",365080,50990,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
113,19-4050,Nuclear Technicians,7230,79970,19-4000,19-0000,19-4000,"Life, Physical, and Social Science Technicians",365080,50990,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
114,19-4060,Social Science Research Assistants,34550,50420,19-4000,19-0000,19-4000,"Life, Physical, and Social Science Technicians",365080,50990,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
115,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",144010,50720,19-4000,19-0000,19-4000,"Life, Physical, and Social Science Technicians",365080,50990,19-0000,"Life, Physical, and Social Science Occupations",1171910,76160
116,21-1010,Counselors,735100,51920,21-1000,21-0000,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2090700,49270,21-0000,Community and Social Service Occupations,2171820,49280
117,21-1020,Social Workers,662550,53060,21-1000,21-0000,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2090700,49270,21-0000,Community and Social Service Occupations,2171820,49280
118,21-1090,Miscellaneous Community and Social Service Specialists,693040,42820,21-1000,21-0000,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2090700,49270,21-0000,Community and Social Service Occupations,2171820,49280
119,21-2010,Clergy,50960,53290,21-2000,21-0000,21-2000,Religious Workers,81120,49790,21-0000,Community and Social Service Occupations,2171820,49280
120,21-2020,"Directors, Religious Activities and Education",21700,46980,21-2000,21-0000,21-2000,Religious Workers,81120,49790,21-0000,Community and Social Service Occupations,2171820,49280
121,21-2090,Miscellaneous Religious Workers,8460,35860,21-2000,21-0000,21-2000,Religious Workers,81120,49790,21-0000,Community and Social Service Occupations,2171820,49280
122,23-1011,Lawyers,642750,144230,23-1000,23-0000,23-1000,"Lawyers, Judges, and Related Workers",708140,139850,23-0000,Legal Occupations,1127900,108690
123,23-1012,Judicial Law Clerks,16350,59540,23-1000,23-0000,23-1000,"Lawyers, Judges, and Related Workers",708140,139850,23-0000,Legal Occupations,1127900,108690
124,23-1020,"Judges, Magistrates, and Other Judicial Workers",49040,109170,23-1000,23-0000,23-1000,"Lawyers, Judges, and Related Workers",708140,139850,23-0000,Legal Occupations,1127900,108690
125,23-2010,Paralegals and Legal Assistants,309940,54500,23-2000,23-0000,23-2000,Legal Support Workers,419770,56130,23-0000,Legal Occupations,1127900,108690
126,23-2090,Miscellaneous Legal Support Workers,109820,60710,23-2000,23-0000,23-2000,Legal Support Workers,419770,56130,23-0000,Legal Occupations,1127900,108690
127,25-1000,Postsecondary Teachers,1517100,85190,25-1000,25-0000,25-1000,Postsecondary Teachers,1517100,85190,25-0000,"Education, Training, and Library Occupations",8779780,56620
128,25-2010,Preschool and Kindergarten Teachers,555680,40070,25-2000,25-0000,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",4193290,59980,25-0000,"Education, Training, and Library Occupations",8779780,56620
129,25-2020,Elementary and Middle School Teachers,2032880,62150,25-2000,25-0000,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",4193290,59980,25-0000,"Education, Training, and Library Occupations",8779780,56620
130,25-2030,Secondary School Teachers,1129040,64230,25-2000,25-0000,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",4193290,59980,25-0000,"Education, Training, and Library Occupations",8779780,56620
131,25-2050,Special Education Teachers,475700,63890,25-2000,25-0000,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",4193290,59980,25-0000,"Education, Training, and Library Occupations",8779780,56620
132,25-3000,Other Teachers and Instructors,1203570,40250,25-3000,25-0000,25-3000,Other Teachers and Instructors,1203570,40250,25-0000,"Education, Training, and Library Occupations",8779780,56620
133,25-4010,"Archivists, Curators, and Museum Technicians",31760,53280,25-4000,25-0000,25-4000,"Librarians, Curators, and Archivists",246200,51290,25-0000,"Education, Training, and Library Occupations",8779780,56620
134,25-4020,Librarians,125750,61530,25-4000,25-0000,25-4000,"Librarians, Curators, and Archivists",246200,51290,25-0000,"Education, Training, and Library Occupations",8779780,56620
135,25-4030,Library Technicians,88690,36080,25-4000,25-0000,25-4000,"Librarians, Curators, and Archivists",246200,51290,25-0000,"Education, Training, and Library Occupations",8779780,56620
136,25-9010,Audio-Visual and Multimedia Collections Specialists,9540,52270,25-9000,25-0000,25-9000,"Other Education, Training, and Library Occupations",1619610,34110,25-0000,"Education, Training, and Library Occupations",8779780,56620
137,25-9020,Farm and Home Management Advisors,8020,52700,25-9000,25-0000,25-9000,"Other Education, Training, and Library Occupations",1619610,34110,25-0000,"Education, Training, and Library Occupations",8779780,56620
138,25-9030,Instructional Coordinators,163900,67490,25-9000,25-0000,25-9000,"Other Education, Training, and Library Occupations",1619610,34110,25-0000,"Education, Training, and Library Occupations",8779780,56620
139,25-9040,Teacher Assistants,1331560,28750,25-9000,25-0000,25-9000,"Other Education, Training, and Library Occupations",1619610,34110,25-0000,"Education, Training, and Library Occupations",8779780,56620
140,25-9090,"Miscellaneous Education, Training, and Library Workers",106590,46680,25-9000,25-0000,25-9000,"Other Education, Training, and Library Occupations",1619610,34110,25-0000,"Education, Training, and Library Occupations",8779780,56620
141,27-1010,Artists and Related Workers,90990,84930,27-1000,27-0000,27-1000,Art and Design Workers,610180,55230,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
142,27-1020,Designers,519180,50020,27-1000,27-0000,27-1000,Art and Design Workers,610180,55230,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
143,27-2010,"Actors, Producers, and Directors",166060,81610,27-2000,27-0000,27-2000,"Entertainers and Performers, Sports and Related Workers",515310,59900,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
144,27-2020,"Athletes, Coaches, Umpires, and Related Workers",266860,45080,27-2000,27-0000,27-2000,"Entertainers and Performers, Sports and Related Workers",515310,59900,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
145,27-2030,Dancers and Choreographers,14810,46670,27-2000,27-0000,27-2000,"Entertainers and Performers, Sports and Related Workers",515310,59900,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
146,27-2040,"Musicians, Singers, and Related Workers",53840,59900,27-2000,27-0000,27-2000,"Entertainers and Performers, Sports and Related Workers",515310,59900,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
147,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",13740,59900,27-2000,27-0000,27-2000,"Entertainers and Performers, Sports and Related Workers",515310,59900,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
148,27-3010,Announcers,35260,48960,27-3000,27-0000,27-3000,Media and Communication Workers,586190,65980,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
149,27-3020,"News Analysts, Reporters and Correspondents",43030,60530,27-3000,27-0000,27-3000,Media and Communication Workers,586190,65980,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
150,27-3030,Public Relations Specialists,239030,68440,27-3000,27-0000,27-3000,Media and Communication Workers,586190,65980,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
151,27-3041,Editors,95750,69480,27-3000,27-0000,27-3000,Media and Communication Workers,586190,65980,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
152,27-3042,Technical Writers,50350,75500,27-3000,27-0000,27-3000,Media and Communication Workers,586190,65980,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
153,27-3043,Writers and Authors,45210,73090,27-3000,27-0000,27-3000,Media and Communication Workers,586190,65980,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
154,27-3090,Miscellaneous Media and Communication Workers,77560,54490,27-3000,27-0000,27-3000,Media and Communication Workers,586190,65980,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
155,27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,121890,49960,27-4000,27-0000,27-4000,Media and Communication Equipment Workers,239490,55970,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
156,27-4020,Photographers,49560,42770,27-4000,27-0000,27-4000,Media and Communication Equipment Workers,239490,55970,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
157,27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",49240,76090,27-4000,27-0000,27-4000,Media and Communication Equipment Workers,239490,55970,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
158,27-4090,Miscellaneous Media and Communication Equipment Workers,18790,77080,27-4000,27-0000,27-4000,Media and Communication Equipment Workers,239490,55970,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1951170,59780
159,29-1010,Chiropractors,34740,85870,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
160,29-1020,Dentists,128060,180590,29-1000,29-0000,29-1000,Health Diagnosing and Treating Practitioners,5367930,101960,29-0000,Healthcare Practitioners and Technical Occupations,8646730,82000
