OCCLY,OCC,ASECWT,Observations,OCCLY_label,OCC_label,EMPOCCLY_unadj,EMPOCC_unadj,EMPOCC_incimp,transition_prob,transition_prob_adj,incoming_prob,transition_adj_networkers
10,1006,1289.12,2,Chief executives,Computer systems analysts,12633783.43,4575833.97,5277323.42,0.00010203752558706002,0.00015815816465994306,0.00028172350842528495,1998.1360000000002
10,1020,3800.89,1,Chief executives,Software developers applications and systems software,12633783.43,11204364.41,12889926.55,0.0003008512866363105,0.00046631949428628126,0.0003392329864430034,5891.3795
10,1050,1564.92,1,Chief executives,Computer support specialists,12633783.43,4446245.47,5177193.22,0.00012386788238620298,0.00019199521769861462,0.00035196437321306963,2425.626
10,1360,4597.74,1,Chief executives,Civil engineers,12633783.43,3190065.93,3733169.7,0.0003639242373810424,0.0005640825679406157,0.001441268017930902,7126.496999999999
10,1410,223.98,1,Chief executives,Electrical and electronics engineers,12633783.43,2646177.04,3050264.0,1.7728655967628852e-05,2.7479416749824722e-05,8.464286274662862e-05,347.16900000000004
10,1530,526.34,1,Chief executives,Engineers all other,12633783.43,3739363.31,4453218.11,4.1661312536841554e-05,6.457503443210441e-05,0.00014075658243542,815.8270000000001
10,1760,117.65,1,Chief executives,Physical scientists all other,12633783.43,1857462.97,2139364.59,9.312333130598868e-06,1.4434116352428246e-05,6.333908233982183e-05,182.35750000000002
10,2100,2321.05,2,Chief executives,Lawyers Judges magistrates and other judicial workers,12633783.43,8938206.36,11793796.73,0.00018371772896537614,0.00028476247989633305,0.0002596773789411593,3597.6275000000005
10,2200,5988.5,4,Chief executives,Postsecondary teachers,12633783.43,11993285.9,13780683.22,0.0004740068589255531,0.0007347106313346073,0.0004993210409500869,9282.175
10,2340,3869.11,2,Chief executives,Other teachers and instructors,12633783.43,7215768.95,8613033.87,0.0003062510942535605,0.00047468919609301876,0.0005362020356818659,5997.120500000001
10,2540,592.57,1,Chief executives,Teacher assistants,12633783.43,8173631.22,9845063.82,4.6903605977041835e-05,7.270058926441484e-05,7.249776556471556e-05,918.4835000000002
10,2550,1874.64,1,Chief executives,Other education training and library workers,12633783.43,1539927.39,1847724.58,0.00014838310395194103,0.0002299938111255086,0.001217356098848271,2905.692
10,2850,879.65,1,Chief executives,Writers and authors,12633783.43,1826058.91,2167459.8,6.96268069556421e-05,0.00010792155078124526,0.00048172049389140465,1363.4575
10,3930,2976.04,1,Chief executives,Security guards and gaming surveillance officers,12633783.43,7481637.32,9006797.47,0.00023556205601349303,0.0003651211868209142,0.0003977792390503099,4612.862
10,4300,291.25,1,Chief executives,First-line supervisors/managers of gaming workers,12633783.43,1214274.78,1516029.52,2.3053268374729454e-05,3.573256598083065e-05,0.00023985510100110947,451.4375
10,4700,6066.09,4,Chief executives,First-line supervisors/managers of retail sales workers,12633783.43,26229527.18,32085839.1,0.00048014832877343384,0.0007442299095988225,0.0002312695138715802,9402.4395
10,4710,5187.08,4,Chief executives,First-line supervisors/managers of non-retail sales workers,12633783.43,9598752.84,11738109.83,0.0004105721796435765,0.0006363868784475436,0.0005403910368839125,8039.974
10,4720,441.09,1,Chief executives,Cashiers,12633783.43,22819083.82,27819222.17,3.4913531836598845e-05,5.411597434672821e-05,1.9329873341076145e-05,683.6895
10,4760,4268.8099999999995,5,Chief executives,Retail salespersons,12633783.43,24133685.46,30119043.79,0.00033788848951323203,0.0005237271587455097,0.00017688181140320536,6616.6555
10,4850,3611.85,1,Chief executives,Sales representatives wholesale and manufacturing,12633783.43,10326563.4,12482353.4,0.00028588823134512127,0.000443126758584938,0.0003497630199026328,5598.367499999999
10,5100,3143.57,1,Chief executives,Bill and account collectors,12633783.43,1318928.27,1583764.76,0.0002488225334411958,0.00038567492683385345,0.0023834275688093334,4872.5335
10,5120,3334.67,1,Chief executives,Bookkeeping accounting and auditing clerks,12633783.43,9739383.88,11579167.8,0.0002639486436091299,0.0004091203975941513,0.0003423902416299459,5168.7385
10,5240,1451.17,1,Chief executives,Customer service representatives,12633783.43,17108971.29,20909646.29,0.00011486424538148032,0.0001780395803412945,8.481924339005657e-05,2249.3135
10,5550,824.29,1,Chief executives,Postal service mail carriers,12633783.43,2726262.3,3190722.27,6.524490502525576e-05,0.00010112960278914644,0.000302351684942421,1277.6495
10,5600,1562.3,1,Chief executives,Production planning and expediting clerks,12633783.43,2103949.06,2491427.89,0.0001236605019118964,0.00019167377796343942,0.0007425560008567887,2421.565
10,5860,1812.06,1,Chief executives,Office clerks general,12633783.43,9282059.52,11522735.6,0.00014342971842441977,0.00022231606355785065,0.00019522176043964865,2808.693
10,7330,2428.05,1,Chief executives,Industrial and refractory machinery mechanics,12633783.43,3364344.28,3971255.94,0.00019218708421377462,0.0002978899805313507,0.0007217008123794038,3763.477500000001
10,7700,1507.98,1,Chief executives,First-line supervisors/managers of production and operating workers,12633783.43,6264203.3,7576217.03,0.00011936091894841038,0.00018500942437003608,0.00024072973493692327,2337.369
10,8600,322.15,1,Chief executives,Power plant operators distributors and dispatchers,12633783.43,338552.83,410741.86,2.5499091525902465e-05,3.9523591865148825e-05,0.0009515501613145575,499.3325
10,9120,3370.86,1,Chief executives,Bus drivers,12633783.43,4804022.27,5877182.67,0.00026681318535155547,0.000413560437294911,0.0007016745157594784,5224.8330000000005
10,9130,373.74,1,Chief executives,Driver/sales workers and truck drivers,12633783.43,26324692.88,32248726.71,2.9582587201275145e-05,4.5853010161976474e-05,1.4197316629815133e-05,579.297
10,9140,1134.69,1,Chief executives,Taxi drivers and chauffeurs,12633783.43,4035001.4,4959079.22,8.981395053089018e-05,0.00013921162332287978,0.0002812117983403922,1758.7695
20,10,19351.18,10,General and operations managers,Chief executives,8122865.67,12680386.76,15079073.11,0.0023823094934918455,0.0036925797149123607,0.0015260717489345727,29994.329
20,20,7839793.86,4326,General and operations managers,General and operations managers,8122865.67,8101102.5,9721615.36,0.9651512383067637,0.9459844193754838,0.9677440644652997,7684104.3645
20,50,13356.98,6,General and operations managers,Marketing and sales managers,8122865.67,8254144.44,9764646.76,0.0016443679537051854,0.0025487703282430375,0.0016182149582058924,20703.319
20,120,10658.95,5,General and operations managers,Financial managers,8122865.67,9961552.1,11842484.67,0.0013122154708733477,0.002033933979853689,0.001070008959748351,16521.3725
20,140,5344.13,2,General and operations managers,Industrial production managers,8122865.67,2268418.15,2636117.78,0.0006579119016749664,0.0010197634475961979,0.0023558839890255685,8283.4015
20,160,4392.98,2,General and operations managers,Transportation storage and distribution managers,8122865.67,2215391.37,2609797.35,0.0005408165268846554,0.000838265616671216,0.001982936315220908,6809.119
20,205,299.34,1,General and operations managers,Farmers Ranchers and Other Agricultural Managers,8122865.67,7228455.36,8588148.1,3.6851526562300026e-05,5.711986617156504e-05,4.141133687515779e-05,463.977
20,220,1833.51,1,General and operations managers,Construction managers,8122865.67,6798311.81,8250825.09,0.00022572206343035586,0.0003498691983170516,0.0002697007803176948,2841.9405
20,230,6231.700000000001,2,General and operations managers,Education administrators,8122865.67,7669261.72,8909446.65,0.0007671799895713407,0.0011891289838355781,0.0008125553967924831,9659.135000000002
20,310,7383.97,4,General and operations managers,Food service managers,8122865.67,8686090.8,10832498.82,0.0009090350991856302,0.0014090044037377268,0.0008500912746617845,11445.1535
20,410,6729.6,3,General and operations managers,Property real estate and community association managers,8122865.67,5552245.52,6804110.33,0.000828476091246256,0.0012841379414316968,0.0012120501472348436,10430.880000000001
20,430,18393.18,13,General and operations managers,Managers all other,8122865.67,33613457.56,40898904.77,0.0022643708202551133,0.0035097747713954256,0.0005471969066903691,28509.429
20,520,5609.21,1,General and operations managers,Wholesale and retail buyers except farm products,8122865.67,1741455.72,2048145.56,0.0006905457049125374,0.001070345842614433,0.003220989161872,8694.2755
20,630,3833.0499999999997,2,General and operations managers,Human resource workers,8122865.67,5337938.5,6409378.82,0.00047188395767229274,0.0007314201343920538,0.0007180768380902103,5941.2275
20,710,6275.32,4,General and operations managers,Management analysts,8122865.67,6995878.92,8256046.57,0.0007725500155907416,0.0011974525241656496,0.0008970023740776805,9726.746000000001
20,740,489.73,1,General and operations managers,Business operations specialists all other,8122865.67,2063381.73,2449590.19,6.029029900232242e-05,9.344996345359976e-05,0.00023734338289406102,759.0815000000001
20,1050,2220.61,1,General and operations managers,Computer support specialists,8122865.67,4446245.47,5177193.22,0.0002733776588478288,0.00042373537121413463,0.0004994348636356328,3441.9455000000003
20,1060,1805.15,1,General and operations managers,Database administrators,8122865.67,970783.23,1087615.01,0.0002222306847529094,0.00034445756136700957,0.0018594779392717775,2797.9825
20,1550,1907.06,1,General and operations managers,Engineering technicians except drafters,8122865.67,3195462.51,3904723.61,0.00023477674966893795,0.00036390396198685384,0.0005968024954234246,2955.943
20,1740,1301.04,1,General and operations managers,Environmental scientists and geoscientists,8122865.67,903476.03,1018395.45,0.00016017007455941347,0.0002482636155670909,0.0014400382044446713,2016.612
20,1860,232.45,1,General and operations managers,Miscellaneous social scientists and related workers,8122865.67,500534.23,554807.66,2.861674801031149e-05,4.435595941598281e-05,0.0004644038031125264,360.2975
20,2000,352.68,1,General and operations managers,Counselors,8122865.67,6488938.81,7769396.94,4.341817461078363e-05,6.729817064671463e-05,5.435095172364555e-05,546.654
20,2040,675.34,1,General and operations managers,Clergy,8122865.67,3499593.23,4116181.31,8.314060916878366e-05,0.00012886794421161467,0.00019297671346792496,1046.777
20,2060,315.81,1,General and operations managers,Religious workers all other,8122865.67,697988.0,789846.63,3.887913611157871e-05,6.0262660972947e-05,0.0004524576353748202,489.5055
20,2720,985.04,1,General and operations managers,Athletes coaches umpires and related workers,8122865.67,2186551.83,2657964.79,0.00012126754768800701,0.00018796469891641088,0.00045049926852179853,1526.8120000000001
20,2825,504.0,2,General and operations managers,Public relations specialists,8122865.67,1237588.01,1419138.2,6.204706817464827e-05,9.617295567070482e-05,0.00040724376442528723,781.1999999999999
20,3540,694.63,1,General and operations managers,Other healthcare practitioners and technical occupations,8122865.67,850428.35,990875.64,8.551538683761097e-05,0.000132548849598297,0.000816800145479628,1076.6765
20,3740,1779.92,1,General and operations managers,Fire fighters,8122865.67,2298146.01,2818856.81,0.00021912463806630944,0.0003396431890027796,0.0007745025739247961,2758.876
20,3930,2061.22,1,General and operations managers,Security guards and gaming surveillance officers,8122865.67,7481637.32,9006797.47,0.0002537552735375962,0.00039332067398327415,0.0002755038652421606,3194.8909999999996
20,4000,1520.25,1,General and operations managers,Chefs and head cooks,8122865.67,3475612.97,4363701.4,0.00018715685593751792,0.0002900931267031528,0.0004374048586888545,2356.3875000000003
20,4010,2125.1,2,General and operations managers,First-line supervisors/managers of food preparation and serving workers,8122865.67,4537306.49,5375486.24,0.0002616194932102084,0.00040551021447582305,0.0004683615719333961,3293.905
20,4020,4991.21,1,General and operations managers,Cooks,8122865.67,15449173.12,18908265.0,0.0006144641808412425,0.0009524194803039259,0.00032307295421128663,7736.375500000001
20,4030,1040.57,1,General and operations managers,Food preparation workers,8122865.67,6454731.58,8003998.62,0.00012810380502082094,0.00019856089778227246,0.00016121042170432127,1612.8835000000001
20,4040,4544.9,2,General and operations managers,Bartenders,8122865.67,3308857.03,4154434.73,0.0005595192860058709,0.0008672548933090999,0.0013735558710434824,7044.595
20,4110,11193.66,7,General and operations managers,Waiters and waitresses,8122865.67,14448397.1,18117752.05,0.001378043224491733,0.002135966997962186,0.0007747336900091153,17350.173
20,4150,1648.72,1,General and operations managers,Hosts and hostesses restaurant lounge and coffee shop,8122865.67,1895362.87,2348093.86,0.00020297270285894067,0.00031460768943135804,0.0008698703694665074,2555.516
20,4220,5557.51,3,General and operations managers,Janitors and building cleaners,8122865.67,17966732.16,21540570.15,0.0006841809560541458,0.0010604804818839261,0.00030932224906056596,8614.140500000001
20,4230,4809.28,2,General and operations managers,Maids and housekeeping cleaners,8122865.67,11496932.97,13911050.2,0.0005920669127598659,0.0009177037147777921,0.0004183098233719631,7454.383999999999
20,4250,5370.16,1,General and operations managers,Grounds maintenance workers,8122865.67,9023956.69,10920944.76,0.0006611164357713673,0.0010247304754456195,0.0005951003738693697,8323.748
20,4300,1115.93,1,General and operations managers,First-line supervisors/managers of gaming workers,8122865.67,1214274.78,1516029.52,0.00013738131902407788,0.00021294104448732072,0.0009190094518804055,1729.6915000000001
20,4700,8582.0,7,General and operations managers,First-line supervisors/managers of retail sales workers,8122865.67,26229527.18,32085839.1,0.0010565236886405387,0.001637611717392835,0.0003271885132014034,13302.1
20,4710,15065.27,7,General and operations managers,First-line supervisors/managers of non-retail sales workers,8122865.67,9598752.84,11738109.83,0.0018546742753164352,0.0028747451267404746,0.001569502856373162,23351.1685
20,4720,4206.6900000000005,2,General and operations managers,Cashiers,8122865.67,22819083.82,27819222.17,0.0005178825024198634,0.0008027178787507883,0.00018434964493679661,6520.369500000001
20,4760,7512.19,5,General and operations managers,Retail salespersons,8122865.67,24133685.46,30119043.79,0.00092482016879149,0.0014334712616268096,0.00031127404939668087,11643.8945
20,4800,6906.759999999999,3,General and operations managers,Advertising sales agents,8122865.67,1814353.87,2227624.78,0.0008502861281466938,0.0013179434986273753,0.0038067325862953067,10705.478
20,4810,788.15,2,General and operations managers,Insurance sales agents,8122865.67,4867800.58,6006616.63,9.702856504335125e-05,0.00015039427581719445,0.00016191090556137778,1221.6325
20,4840,3350.2799999999997,2,General and operations managers,Sales representatives services all other,8122865.67,3841904.22,4680526.03,0.0004124504991352393,0.000639298273659621,0.0008720363153665501,5192.934
20,4850,1812.6499999999999,2,General and operations managers,Sales representatives wholesale and manufacturing,8122865.67,10326563.4,12482353.4,0.00022315400421979401,0.00034588870654068076,0.00017553274306145254,2809.6075
20,4920,664.58,1,General and operations managers,Real estate brokers and sales agents,8122865.67,6813921.64,8696632.36,8.181595350695982e-05,0.00012681472793578773,9.753267429708806e-05,1030.0990000000002
20,5000,2907.83,2,General and operations managers,First-line supervisors/managers of office and administrative support workers,8122865.67,11537103.33,13752344.93,0.0003579808060521577,0.0005548702493808444,0.0002520416015031045,4507.1365
20,5100,1087.01,1,General and operations managers,Bill and account collectors,8122865.67,1318928.27,1583764.76,0.00013382099915977067,0.00020742254869764455,0.0008241615747609989,1684.8655
20,5160,308.71,1,General and operations managers,Tellers,8122865.67,2885828.61,3517497.34,3.800506034959458e-05,5.89078435418716e-05,0.00010697447482856579,478.5005
20,5240,6617.75,3,General and operations managers,Customer service representatives,8122865.67,17108971.29,20909646.29,0.0008147063202634496,0.0012627947964083468,0.00038679999444899413,10257.5125
20,5310,757.7,1,General and operations managers,Interviewers except eligibility and loan,8122865.67,1255699.37,1486259.52,9.32798880077996e-05,0.0001445838264120894,0.0006034087601716325,1174.4350000000002
20,5330,1892.5,1,General and operations managers,Loan interviewers and clerks,8122865.67,1111867.88,1336731.45,0.00023298427881055924,0.0003611256321563668,0.0017020907196275876,2933.375
20,5360,1709.91,1,General and operations managers,Human resources assistants except payroll and timekeeping,8122865.67,587207.97,717880.22,0.00021050575861609688,0.0003262839258549502,0.0029119325475095307,2650.3605000000002
20,5400,2610.69,2,General and operations managers,Receptionists and information clerks,8122865.67,10323649.14,12422544.43,0.0003214001198668105,0.0004981701857935562,0.00025288441757330003,4046.5694999999996
20,5510,303.61,1,General and operations managers,Couriers and messengers,8122865.67,1904205.99,2294373.22,3.7377203112113023e-05,5.7934664823775185e-05,0.00015944178392170692,470.5955000000001
20,5700,1680.8600000000001,2,General and operations managers,Secretaries and administrative assistants,8122865.67,23340536.33,28028965.9,0.00020692943454769702,0.0003207406235489304,7.201462623802528e-05,2605.333
20,5940,1380.88,2,General and operations managers,Office and administrative support workers all other,8122865.67,4480133.42,5276547.59,0.00016999911805755619,0.0002634986329892121,0.0003082229635920084,2140.364
20,6120,1529.38,1,General and operations managers,Forest and conservation workers,8122865.67,184223.4,217498.26,0.00018828084350187217,0.0002918353074279019,0.008301768396414354,2370.539
20,6230,301.79,1,General and operations managers,Carpenters,8122865.67,10009886.8,12282250.44,3.715314425481568e-05,5.758737359496431e-05,3.0149192096757777e-05,467.77450000000005
20,6260,1725.06,3,General and operations managers,Construction laborers,8122865.67,12199027.18,15447565.55,0.00021237086393920384,0.00032917483910576594,0.00014140963656742995,2673.843
20,6320,463.17,1,General and operations managers,Operating engineers and other construction equipment operators,8122865.67,2634162.61,3146249.04,5.702051699692825e-05,8.838180134523879e-05,0.00017583196961405508,717.9135
20,7000,822.66,1,General and operations managers,First-line supervisors/managers of mechanics installers and repairers,8122865.67,2272356.12,2705261.5,0.00010127706568364315,0.0001569794518096469,0.0003620295220275596,1275.123
20,7130,981.57,1,General and operations managers,Security and fire alarm systems installers,8122865.67,496148.98,604929.28,0.00012084035854799505,0.00018730255574939234,0.001978377542971065,1521.4335
20,7220,503.08,1,General and operations managers,Heavy vehicle and mobile equipment service technicians and mechanics,8122865.67,1679709.12,1992770.15,6.193380765337708e-05,9.599740186273448e-05,0.0002995042379718698,779.7739999999999
20,7700,5098.59,2,General and operations managers,First-line supervisors/managers of production and operating workers,8122865.67,6264203.3,7576217.03,0.0006276836534217856,0.0009729096628037677,0.0008139247332537882,7902.8145
20,7750,4672.08,2,General and operations managers,Miscellaneous assemblers and fabricators,8122865.67,8077589.1,9742648.04,0.0005751763219789894,0.0008915232990674337,0.0005784003051108405,7241.724
20,8620,497.45,1,General and operations managers,Water and liquid waste treatment plant and system operators,8122865.67,685222.79,775060.82,6.124070250690234e-05,9.492308888569863e-05,0.000725968265007648,771.0475
20,8740,6052.54,3,General and operations managers,Inspectors testers sorters samplers and weighers,8122865.67,5951524.19,7125837.42,0.0007451237341464001,0.0011549417879269201,0.0010169730991213528,9381.437
20,8965,3314.69,1,General and operations managers,Production workers all other,8122865.67,7344078.47,9050888.55,0.00040806904049171604,0.0006325070127621599,0.0004513418550115247,5137.7695
20,9120,1543.41,1,General and operations managers,Bus drivers,8122865.67,4804022.27,5877182.67,0.00019000806645125772,0.00029451250299944947,0.00032127453064450514,2392.2855
20,9130,627.67,1,General and operations managers,Driver/sales workers and truck drivers,8122865.67,26324692.88,32248726.71,7.727199063726483e-05,0.00011977158548776049,2.3843393078172163e-05,972.8884999999999
20,9600,3575.67,2,General and operations managers,Industrial truck and tractor operators,8122865.67,4688584.96,5605525.71,0.00044019809575405675,0.000682307048418788,0.0007626330823703363,5542.288500000001
20,9620,7536.009999999999,3,General and operations managers,Laborers and freight stock and material movers hand,8122865.67,14454385.23,17641865.57,0.0009277526314183156,0.0014380165786983892,0.00052136496157298,11680.815499999999
20,9750,4745.9,1,General and operations managers,Material moving workers all other,8122865.67,406993.09,497316.33,0.0005842642477183794,0.0009056095839634881,0.011660885937891474,7356.1449999999995
40,40,490667.2,241,Advertising and promotions managers,Advertising and promotions managers,515429.64,543170.01,630737.78,0.9519576716620333,0.9255343910761515,0.9033400058298506,477047.858
40,60,321.02,1,Advertising and promotions managers,Public relations managers,515429.64,595193.53,708488.17,0.0006228202165478881,0.0009653713356492265,0.0005393539812168321,497.581
40,340,379.92,1,Advertising and promotions managers,Lodging managers,515429.64,1183041.32,1481454.36,0.0007370938155593846,0.0011424954141170463,0.00032113840284124647,588.8760000000001
40,420,1030.3,1,Advertising and promotions managers,Social and community service managers,515429.64,3263337.33,3730879.0,0.001998914924644225,0.0030983181331985486,0.00031571973590606396,1596.965
40,710,2706.43,1,Advertising and promotions managers,Management analysts,515429.64,6995878.92,8256046.57,0.005250823371352877,0.00813877622559696,0.00038686061193294636,4194.9664999999995
40,2825,5190.24,1,Advertising and promotions managers,Public relations specialists,515429.64,1237588.01,1419138.2,0.010069735221280638,0.01560808959298499,0.004193835071172029,8044.872
40,4760,393.96,1,Advertising and promotions managers,Retail salespersons,515429.64,24133685.46,30119043.79,0.000764333226936658,0.00118471650175182,1.6324071209636124e-05,610.6379999999999
40,4850,9065.85,1,Advertising and promotions managers,Sales representatives wholesale and manufacturing,515429.64,10326563.4,12482353.4,0.017588918634946955,0.02726282388416778,0.0008779154931639698,14052.067500000001
40,5240,194.11,1,Advertising and promotions managers,Customer service representatives,515429.64,17108971.29,20909646.29,0.0003765984431939149,0.0005837275869505681,1.1345509715914662e-05,300.87050000000005
40,5610,3108.56,1,Advertising and promotions managers,Shipping receiving and traffic clerks,515429.64,4714649.8,5563836.35,0.0060310074523459685,0.00934806155113625,0.0006593405940776343,4818.267999999999
40,9130,2372.05,1,Advertising and promotions managers,Driver/sales workers and truck drivers,515429.64,26324692.88,32248726.71,0.004602083031158239,0.007133228698295271,9.010741400907847e-05,3676.6775000000002
50,10,8998.869999999999,5,Marketing and sales managers,Chief executives,8277827.49,12680386.76,15079073.11,0.001087105283466109,0.001685013189372469,0.0007096684170854107,13948.2485
50,20,8788.91,5,Marketing and sales managers,General and operations managers,8277827.49,8101102.5,9721615.36,0.0010617411404885413,0.001645698767757239,0.0010849029499379868,13622.8105
50,50,7862277.72,4080,Marketing and sales managers,Marketing and sales managers,8277827.49,8254144.44,9764646.76,0.9497996581226168,0.922189470090056,0.9525248530785341,7633725.346499999
50,60,805.64,1,Marketing and sales managers,Public relations managers,8277827.49,595193.53,708488.17,9.732505309795964e-05,0.00015085383230183745,0.001353576541734249,1248.742
50,110,3539.91,1,Marketing and sales managers,Computer and information systems managers,8277827.49,5396255.77,6284388.96,0.00042763756604934994,0.0006628382273764924,0.0006559937391551773,5486.8605
50,120,4759.97,3,Marketing and sales managers,Financial managers,8277827.49,9961552.1,11842484.67,0.0005750264795624534,0.0008912910433218029,0.0004778341720463421,7377.9535000000005
50,140,2054.02,1,Marketing and sales managers,Industrial production managers,8277827.49,2268418.15,2636117.78,0.0002481351541188013,0.000384609488884142,0.0009054856133998046,3183.731
50,160,3659.21,1,Marketing and sales managers,Transportation storage and distribution managers,8277827.49,2215391.37,2609797.35,0.0004420495600349845,0.000685176818054226,0.0016517217000804692,5671.775500000001
50,220,1672.28,1,Marketing and sales managers,Construction managers,8277827.49,6798311.81,8250825.09,0.00020201918945764353,0.00031312974365934747,0.00024598459834398214,2592.0339999999997
50,230,1296.59,1,Marketing and sales managers,Education administrators,8277827.49,7669261.72,8909446.65,0.00015663409289047648,0.00024278284398023857,0.000169063209385427,2009.7144999999998
50,300,1683.12,1,Marketing and sales managers,Engineering managers,8277827.49,1014309.41,1205747.65,0.00020332871179464502,0.0003151595032816998,0.0016593753182276006,2608.836
50,350,923.7,1,Marketing and sales managers,Medical and health services managers,8277827.49,5069310.67,6043699.1,0.00011158724932548697,0.00017296023645450482,0.0001822141234046719,1431.7350000000001
50,430,28717.03,17,Marketing and sales managers,Managers all other,8277827.49,33613457.56,40898904.77,0.003469150575400551,0.005377183391870854,0.0008543313328817816,44511.3965
50,520,1414.77,1,Marketing and sales managers,Wholesale and retail buyers except farm products,8277827.49,1741455.72,2048145.56,0.00017091078567524,0.000264911717796622,0.0008124065307844865,2192.8934999999997
50,530,2806.56,1,Marketing and sales managers,Purchasing agents except wholesale retail and farm products,8277827.49,2143688.24,2630348.14,0.00033904548063975174,0.0005255204949916152,0.0013092202250454103,4350.168
50,565,1699.24,1,Marketing and sales managers,Compliance officers,8277827.49,2015893.63,2380813.09,0.0002052760826500384,0.00031817792810755956,0.0008429214591049629,2633.822
50,630,1094.97,1,Marketing and sales managers,Human resource workers,8277827.49,5337938.5,6409378.82,0.0001322774606408233,0.0002050300639932761,0.00020512975186956538,1697.2035
50,650,1181.46,1,Marketing and sales managers,Training and development specialists,8277827.49,1171157.48,1351552.06,0.0001427258542687992,0.0002212250741166388,0.0010087968699136857,1831.2630000000001
50,710,11235.05,9,Marketing and sales managers,Management analysts,8277827.49,6995878.92,8256046.57,0.0013572462114694297,0.002103731627777616,0.0016059526084536637,17414.3275
50,725,3147.9,1,Marketing and sales managers,Meeting convention and event planners,8277827.49,1141261.92,1371038.13,0.00038028093769806263,0.000589435453431997,0.0027582625380158134,4879.245
50,726,1996.29,1,Marketing and sales managers,Fundraisers,8277827.49,644590.33,748954.4400000001,0.0002411611020417629,0.0003737997081647325,0.0030969903008008204,3094.2495000000004
50,735,33035.76,16,Marketing and sales managers,Market research analysts and marketing specialists,8277827.49,2222492.87,2670490.7,0.003990873214005575,0.0061858534817086416,0.01486428165684059,51205.42800000001
